索引,文本内容,翻译内容
130,A special fabric enchanted with magic so you can have an enchanted night. It even glows!,
131,Nanotrasen bedsheet,
132,It has the Nanotrasen logo on it and has an aura of duty.,
133,cosmic space bedsheet,
134,Made from the dreams of those who wonder at the stars.,
135,random bedsheet,
136,"If you're reading this description ingame, something has gone wrong! Honk!",
137,random dorms bedsheet,
138,"If you're reading this description ingame, something has gone wrong! Honk!",
139,linen bin,
140,It looks rather cosy.,
141,blank billboard,
142,"A blank billboard, with space for all kinds of advertising.",
143,Donk-n-Go billboard,
144,"A billboard advertising Donk-n-Go, Donk Co's ever-present and ever-unhealthy fast-food venture: GET IN, GET FED, GET GONE!",
145,Space Cola billboard,
146,"A billboard advertising Space Cola: Relax, have a Spoke.",
147,Nanotrasen billboard,
148,"A billboard advertising Nanotrasen: A Better Tomorrow, Today.",
149,defaced Nanotrasen billboard,
150,A billboard advertising Nanotrasen. Someone's sprayed a message onto it: Fuck Corpo Pigs.,
151,Azik Interstellar billboard,
152,A billboard advertising Azik Interstellar and their newest model: the Autocrat Solar Sailer. Azik Interstellar: Tiziran Refinement for Galactic Necessities.,
153,Charlemagne von Rheinland billboard,
154,A billboard advertising Charlemagne von Rheinland's Germania-class superyacht. Charlemagne von Rheinland: Die Werft der Könige.,
155,24-Seven billboard,
156,"A billboard advertising 24-Seven's new range of limited-edition Slushee flavours. 24-Seven: All Day, Everyday.",
157,Starway Transit billboard,
158,A billboard advertising Starway Transit's direct flight from New Moscow to New York: only 2000 credits for an economy class berth. Starway: Your Ticket to the Stars.,
159,The Lizard's Gas billboard,
160,"A billboard labelling the gas station known as 'The Lizard's Gas'. It's been lost to time, and this is the only known gas station of its type. It's hard to see why it flopped based on the quality of the billboard.",
161,"A billboard labelling the gas station known as 'The Lizard's Gas'. The soulfully drawn billboard has been graffitied, with a kind stranger painting over the vitriolic graffiti.",
162,Roadsign billboard,
163,"A billboard notifying the reader how many miles are left until the gas station. This one seems to be blank, however.",
164,A billboard notifying the reader how many miles are left until the next gas station. It's hard to see a purpose for this sign at all.,
165,A billboard notifying the reader how many miles are left until the next gas station. You'll probably want to stock up on food and gas if you see something like this.,
166,"A billboard notifying the reader how many miles are left until the next gas station. If you're capable of multi-million-mile travel, this shouldn't be a sweat! If you aren't...",
167,"A billboard notifying the reader how many miles are left until the next gas station. This is a static sign, so you have to wonder what sort of person would both print this and then hang it up.",
168,Spinward Smoothies billboard,
169,A billboard advertising Spinward Smoothies. ,
170,bonfire,
171,"For grilling, broiling, charring, smoking, heating, roasting, toasting, simmering, searing, melting, and occasionally burning things.",
172,Probably a White Pawn,
173,This is weird. Please inform adminstration on how you managed to get the parent chess piece. Thanks!,
174,White Pawn,
175,A white pawn chess piece. Get accused of cheating when executing a sick En Passant.,
176,White Rook,
177,A white rook chess piece. Also known as a castle. Can move any number of tiles in a straight line. It has a special move called castling.,
178,White Knight,
179,"A white knight chess piece. It can hop over other pieces, moving in L shapes. A white kni- oh. Hah!",
180,White Bishop,
181,A white bishop chess piece. It can move any number of tiles in a diagonal line.,
182,White Queen,
183,A white queen chess piece. It can move any number of tiles in diagonal and straight lines.,
184,White King,
185,A white king chess piece. It can move any tile in one direction.,
186,Black Pawn,
187,A black pawn chess piece. Get accused of cheating when executing a sick En Passant.,
188,Black Rook,
189,A black rook chess piece. Also known as a castle. Can move any number of tiles in a straight line. It has a special move called castling.,
190,Black Knight,
191,"A black knight chess piece. It can hop over other pieces, moving in L shapes.",
192,Black Bishop,
193,A black bishop chess piece. It can move any number of tiles in a diagonal line.,
194,Black Queen,
195,A black queen chess piece. It can move any number of tiles in diagonal and straight lines.,
196,Black King,
197,A black king chess piece. It can move one tile in any direction.,
198,shipping container,
199,"A standard-measure shipping container for bulk transport of goods. This one is blank, offering no clue as to its contents.",
200,Nanotrasen shipping container,
201,"A standard-measure shipping container for bulk transport of goods. This one prominently features Nanotrasen's logo, and so presumably could be carrying anything.",
202,DeForest Medical Corp. shipping container,
203,"A standard-measure shipping container for bulk transport of goods. This one is from DeForest, and so is probably carrying medical supplies.",
204,Kosmologistika shipping container,
205,"A standard-measure shipping container for bulk transport of goods. This one is from Kosmologistika, the logistics company owned and operated by the SSC.",
206,Nakamura Engineering shipping container,
207,"A standard-measure shipping container for bulk transport of goods. This one is from Nakamura, presumably for transporting tools or heavy industrial equipment.",
208,Kahraman Heavy Industry shipping container,
209,"A standard-measure shipping container for bulk transport of goods. This one is from Kahraman, and is reinforced for carrying ore.",
210,Nanotrasen Heavy Industries shipping container,
211,A standard-measure shipping container for bulk transport of goods. This one is from NTHI: Nanotrasen's mining and refining subdivision.,
212,Conarex Aeronautics shipping container,
213,"A standard-measure shipping container for bulk transport of goods. This one is from Conarex Aeronautics, and is probably carrying spacecraft parts (or a bribery scandal) as a result.",
214,Vítězství Arms shipping container,
215,"A standard-measure shipping container for bulk transport of goods. This one is from Vítězství Arms, proudly proclaiming that Vítězství weapons mean victory.",
216,Cybersun Industries shipping container,
217,"A standard-measure shipping container for bulk transport of goods. This one prominently features Cybersun's logo, and so presumably could be carrying almost anything.",
218,Gorlex Securities shipping container,
219,"A standard-measure shipping container for bulk transport of goods. This one is from Gorlex Securities, and is probably carrying their primary export: war crimes.",
220,Donk Co. shipping container,
221,A standard-measure shipping container for bulk transport of goods. This one is from Donk Co. and so could be carrying just about anything- although it's probably Donk Pockets.,
222,machine gun turret,
223,"While the trigger is held down, this gun will redistribute recoil to allow its user to easily shift targets.",
224,Infinity Gun,
225,heavy machine gun turret,
226,"A heavy calibre machine gun commonly used by Nanotrasen forces, famed for it's ability to give people on the recieving end more holes than normal.",
227,turret controls,
228,display case,
229,A display case for prized possessions.,
230,display case chassis,
231,The wooden base of a display case.,
232,lab cage,
233,A glass lab container for storing interesting creatures.,
234,trophy display case,
235,"Store your trophies of accomplishment in here, and they will stay forever.",
236,display case key,
237,The key to the curator's display cases.,
238,Cheap replica,
239,vend-a-tray,
240,A display case with an ID-card swiper. Use your ID to purchase the contents.,
241,A display case with an ID-card swiper. Use your ID to purchase the contents. Meant for the bartender and chef.,
242,sacrificial altar,
243,An altar designed to perform blood sacrifice for a deity. Alt-click it to sacrifice a buckled creature.,
244,healing fountain,
245,A fountain containing the waters of life.,
246,airlock assembly,
247,Airlock,
248,,
249,", written on it is '[created_name]'",
250,secured airlock assembly,
251,airlock assembly,
252,wired airlock assembly,
253,secured airlock assembly,
254,near finished airlock assembly,
255,wired airlock assembly,
256,near finished heat-proofed window airlock assembly,
257,near finished window airlock assembly,
258,,
259,secured ,
260,wired ,
261,near finished ,
262,public airlock assembly,
263,command airlock assembly,
264,command airlock,
265,security airlock assembly,
266,security airlock,
267,engineering airlock assembly,
268,engineering airlock,
269,mining airlock assembly,
270,mining airlock,
271,atmospherics airlock assembly,
272,atmospherics airlock,
273,research airlock assembly,
274,research airlock,
275,science airlock assembly,
276,science airlock,
277,medical airlock assembly,
278,medical airlock,
279,hydroponics airlock assembly,
280,hydroponics airlock,
281,maintenance airlock assembly,
282,maintenance airlock,
283,external maintenance airlock assembly,
284,external maintenance airlock,
285,external airlock assembly,
286,external airlock,
287,freezer airlock assembly,
288,freezer airlock,
289,airtight hatch assembly,
290,airtight hatch,
291,maintenance hatch assembly,
292,maintenance hatch,
293,high security airlock assembly,
294,high security airlock,
295,vault door assembly,
296,vault door,
297,shuttle airlock assembly,
298,shuttle airlock,
299,cult airlock assembly,
300,cult airlock,
301,virology airlock assembly,
302,virology airlock,
303,gold airlock assembly,
304,gold airlock,
305,silver airlock assembly,
306,silver airlock,
307,diamond airlock assembly,
308,diamond airlock,
309,uranium airlock assembly,
310,uranium airlock,
311,plasma airlock assembly,
312,plasma airlock,
313,bananium airlock assembly,
314,Honk.,
315,bananium airlock,
316,sandstone airlock assembly,
317,sandstone airlock,
318,titanium airlock assembly,
319,shuttle airlock,
320,wooden airlock assembly,
321,wooden airlock,
322,bronze airlock assembly,
323,bronze airlock,
324,airlock assembly,
325,dresser,
326,A nicely-crafted wooden dresser. It's filled with lots of undies.,
327,electric chair,
328,Looks absolutely SHOCKING!,
329,extinguisher cabinet,
330,A small wall mounted cabinet designed to hold a fire extinguisher.,
331,extinguisher cabinet frame,
332,Used for building wall-mounted extinguisher cabinets.,
333,wall,
334,A huge chunk of metal used to separate rooms.,
335,reinforced wall,
336,A huge chunk of reinforced metal used to separate rooms.,
337,uranium wall,
338,A wall with uranium plating. This is probably a bad idea.,
339,gold wall,
340,A wall with gold plating. Swag!,
341,silver wall,
342,A wall with silver plating. Shiny.,
343,diamond wall,
344,A wall with diamond plating. You monster.,
345,plasma wall,
346,A wall with plasma plating. This is definitely a bad idea.,
347,bananium wall,
348,A wall with bananium plating. Honk!,
349,sandstone wall,
350,A wall with sandstone plating. Rough.,
351,wooden wall,
352,A wall with wooden plating. Stiff.,
353,bamboo wall,
354,A wall with bamboo finish. Zen.,
355,rough iron wall,
356,A wall with rough metal plating.,
357,alien wall,
358,A wall with alien alloy plating.,
359,wall,
360,A light-weight titanium wall used in shuttles.,
361,wall,
362,An evil wall of plasma and titanium.,
363,wall,
364,A huge chunk of material used to separate rooms.,
365,A huge chunk of [mat] used to separate rooms.,
366,environmental regulation system,
367,A large machine releasing a constant gust of air.,
368,tiny fan,
369,"A tiny fan, releasing a thin gust of air.",
370,air flow blocker,
371,shuttle bay shield,
372,"An tenuously thin energy shield only capable of holding in air, but not solid objects or people.",
373,fence,
374,"A chain link fence. Not as effective as a wall, but generally it keeps people out.",
375,fence door,
376,Not very useful without a real lock.,
377,fire axe cabinet,
378,"There is a small label that reads \""For Emergency use only\"" along with details for safe use of the axe. As if.",
379,Open/Close,
380,fireplace,
381,A large stone brick fireplace.,
382,"A large stone brick fireplace, warm and cozy.",
383,flora,
384,Some sort of plant.,
385,tree,
386,A large tree.,
387,[name] stump,
388,stump,
389,"This represents our promise to the crew, and the station itself, to cut down as many trees as possible.",
390,"A dead tree. How it died, you know not.",
391,It's seriously hampering your view of the jungle.,
392,pine tree,
393,A coniferous pine tree.,
394,xmas tree,
395,A wondrous decorated Christmas tree.,
396,A wondrous decorated Christmas tree. It has presents!,
397,A wonderous decorated Christmas tree. It has a seemly endless supply of presents!,
398,festivus pole,
399,During last year's Feats of Strength the Research Director was able to suplex this passing immobile rod into a planter.,
400,suplexed rod,
401,"A true feat of strength, almost as good as last year.",
402,palm tree,
403,A tree straight from the tropics.,
404,grass,
405,A patch of overgrown grass.,
406,jungle grass,
407,Thick alien flora.,
408,bush,
409,Some type of shrubbery. Known for causing considerable economic stress on designers.,
410,A wild plant that is found in jungles.,
411,large rock,
412,A volcanic rock. Pioneers used to ride these babies for miles.,
413,rock pile,
414,A pile of rocks.,
415,pile of large rocks,
416,icy rock,
417,icy rocks,
418,fluff structure,
419,Fluffier than a sheep. This shouldn't exist.,
420,empty terrarium,
421,An ancient machine that seems to be used for storing plant matter. Its hatch is ajar.,
422,empty sleeper,
423,"An open sleeper. It looks as though it would be awaiting another patient, were it not broken.",
424,broken hypersleep chamber,
425,empty cryostasis sleeper,
426,"Although comfortable, this sleeper won't function as anything but a bed ever again.",
427,broken tiling,
428,A segment of broken flooring.,
429,drake statue,
430,A towering basalt sculpture of a proud and regal drake. Its eyes are six glowing gemstones.,
431,A towering basalt sculpture of a drake. Cracks run down its surface and parts of it have fallen off.,
432,bus,
433,GO TO SCHOOL. READ A BOOK.,
434,bus,
435,bus,
436,seat,
437,"Buckle up! ...What do you mean, there's no seatbelts?!",
438,driver's seat,
439,Space Jesus is my copilot.,
440,dense lining of papers,
441,A lining of paper scattered across the bottom of a wall.,
442,dense stack of papers,
443,"A stack of various papers, childish scribbles scattered across each page.",
444,Miracle,
445,nexus,
446,It anchors a deity to this world. It radiates an unusual aura. It looks well protected from explosive shock.,
447,conduit,
448,It allows a deity to extend their reach.  Their powers are just as potent near a conduit as a nexus.,
449,conversion altar,
450,An altar dedicated to a deity.,
451,power pylon,
452,A pylon which increases the deity's rate it can influence the world.,
453,defense pylon,
454,"A pylon which is blessed to withstand many blows, and fire strong bolts at nonbelievers. A god can toggle it.",
455,shrine,
456,A shrine dedicated to a deity.,
457,crude sign,
458,A crudely-made sign with the words 'fok of' written in some sort of red paint.,
459,giant chain,
460,A towering link of chains leading up to the ceiling.,
461,beach towel,
462,A towel decorated in various beach-themed designs.,
463,beach umbrella,
464,A fancy umbrella designed to keep the sun off beach-goers.,
465,Clockwork Fluff,
466,replicant alloy shards,
467,Broken shards of some oddly malleable metal. They occasionally move and seem to glow.,
468,blind eye,
469,"A heavy brass eye, its red iris fallen dark.",
470,fallen armor,
471,Lifeless chunks of armor. They're designed in a strange way and won't fit on you.,
472,clockwork golem scrap,
473,A pile of scrap metal. It seems damaged beyond repair.,
474,tram rail,
475,"Great for trams, not so great for skating.",
476,tram rail anchor,
477,girder,
478,A large structural assembly made out of metal; It requires a layer of iron before it can be considered a wall.,
479,displaced girder,
480,reinforced girder,
481,tram girder,
482,runed girder,
483,Framework made of a strange and shockingly cold metal. It doesn't seem to have any bolts.,
484,wall gear,
485,"A girder made out of sturdy bronze, made to resemble a gear.",
486,A flimsy framework of iron rods.,
487,grille,
488,guillotine,
489,A large structure used to remove the heads of traitors and treasonists.,
490,gun locker,
491,A locker that holds guns.,
492,shotgun locker,
493,A locker that holds shotguns.,
494,energy gun locker,
495,A locker that holds energy guns.,
496,punching bag,
497,A punching bag. Can you get to speed level 4???,
498,Just looking at this thing makes you feel tired.,
499,chest press machine,
500,inline bench press,
501,spooky head on a spear,
502,When you really want to send a message.,
503,[victim.real_name] on a [spear],
504,beacon,
505,Some odd beacon thing.,
506,holo sign,
507,wet floor sign,
508,The words flicker as if they mean nothing.,
509,holobarrier,
510,A short holographic barrier which can only be passed by walking.,
511,wet floor holobarrier,
512,When it says walk it means walk.,
513,holofirelock,
514,"A holographic barrier resembling a firelock. Though it does not prevent solid objects from passing through, gas is kept out.",
515,sturdy holofirelock,
516,Energy Field,
517,A fragile energy field that blocks movement. Excels at blocking lethal projectiles.,
518,PENLITE holobarrier,
519,"A holobarrier that uses biometrics to detect human viruses. Denies passing to personnel with easily-detected, malicious viruses. Good for quarantines.",
520,Charged Energy Field,
521,A powerful energy field that blocks movement. Energy arcs off it.,
522,janitorial cart,
523,This is the alpha and omega of sanitation.,
524,meatspike frame,
525,The frame of a meat spike.,
526,meat spike,
527,A spike for collecting meat from animals.,
528,ladder,
529,A sturdy metal ladder.,
530,sturdy ladder,
531,An extremely sturdy metal ladder.,
532,lattice,
533,A lightweight support lattice. These hold our station together.,
534,catwalk,
535,A catwalk for easier EVA maneuvering and cable placement.,
536,reinforced catwalk,
537,A heavily reinforced catwalk used to build bridges in hostile environments. It doesn't look like anything could make this budge.,
538,heatproof support lattice,
539,A specialized support beam for building across lava. Watch your step.,
540,life candle,
541,You are dead. Insert quarter to continue.,
542,loom,
543,A simple device used to weave cloth and other thread-based fabrics together into usable material.,
544,moisture trap,
545,A device installed in order to control moisture in poorly ventilated areas.\nThe stagnant water inside basin seems to produce serious biofouling issues when improperly maintained.\nThis unit in particular seems to be teeming with life!\nWho thought mother Gaia could assert herself so vigoriously in this sterile and desolate place?,
546,strange structure,
547,What is this? Who put it on this station? And why does it emanate <span class='hypnophrase'>strange energy?</span>,
548,strange pants,
549,"A pair of pants. They do not look or feel natural, and smell like fresh blood.",
550,steam vent,
551,A device periodically filtering out moisture particles from the nearby walls and windows. It's only possible due to the moisture traps nearby.,
552,A device periodically filtering out moisture particles from the nearby walls and windows. It's only possible due to the moisture traps nearby. It's faster than most.,
553,Tomb of the Unknown Employee,
554,Here rests an unknown employee\nUnknown by name or rank\nWhose acts will not be forgotten,
555,The OrdoM Memorial Medal For Excellence in Paperwork,
556,"Awarded for outstanding excellence in paperwork, administration, and bureaucracy.",
557,iron door,
558,iron door,
559,silver door,
560,gold door,
561,uranium door,
562,sandstone door,
563,plasma door,
564,diamond door,
565,wood door,
566,paper frame door,
567,mirror,
568,"Mirror mirror on the wall, who's the most robust of them all?",
569,"Oh no, seven years of bad luck!",
570,magic mirror,
571,Turn and face the strange... face.,
572,pride's mirror,
573,Pride cometh before the...,
574,mop bucket,
575,"Fill it with water, but don't forget a mop!",
576,morgue,
577,Used to keep bodies in until someone fetches them. Now includes a high-tech alert system.,
578,morgue memo,
579,crematorium,
580,A human incinerator. Works well on barbecue nights.,
581,creamatorium,
582,A human incinerator. Works well during ice cream socials.,
583,crematorium tray,
584,Apply body before burning.,
585,morgue tray,
586,Apply corpse before closing.,
587,mystery box,
588,"A wooden crate that seems equally magical and mysterious, capable of granting the user all kinds of different pieces of gear.",
589,"A wooden crate that seems equally magical and mysterious, capable of granting the user all kinds of different pieces of gear. This one seems focused on firearms.",
590,"A wooden crate that seems equally magical and mysterious, capable of granting the user all kinds of different pieces of gear. This one has an extended array of weaponry.",
591,???,
592,Who knows what it'll be??,
593,notice board,
594,A board for pinning important notices upon.,
595,Captain's Notice Board,
596,Important notices from the Captain.,
597,Head of Personnel's Notice Board,
598,Important notices from the Head of Personnel.,
599,Chief Engineer's Notice Board,
600,Important notices from the Chief Engineer.,
601,Head of Security's Notice Board,
602,Important notices from the Head of Security.,
603,Chief Medical Officer's Notice Board,
604,Important notices from the Chief Medical Officer.,
605,Research Director's Notice Board,
606,Important notices from the Research Director.,
607,Quartermaster's Notice Board,
608,Important notices from the Quartermaster.,
609,Staff Notice Board,
610,Important notices from the heads of staff.,
611,statue,
612,An incredibly lifelike marble carving.,
613,statue of [name],
614,statue of a corgi,
615,"If it takes forever, I will wait for you...",
616,airtight plastic flaps,
617,"Heavy duty, airtight, plastic flaps. Definitely can't get past those. No way.",
618,railing,
619,Basic railing meant to protect idiots like you from falling.,
620,reflector base,
621,A base for reflector assemblies.,
622,reflector,
623,An angled mirror for reflecting laser beams.,
624,double sided reflector,
625,A double sided angled mirror for reflecting laser beams.,
626,reflector box,
627,A box with an internal set of mirrors that reflects all laser beams in a single direction.,
628,Reflector,
629,Allows you to adjust the angle of a reflector.,
630,safe,
631,"A huge chunk of metal with a dial embedded in it. Fine print on the dial reads \""Scarborough Arms - 2 tumbler safe, guaranteed thermite resistant, explosion resistant, and assistant resistant.\""",
632,floor safe,
633,showcase,
634,A stand with the empty body of a cyborg bolted to it.,
635,CentCom identification console,
636,You can use this to change ID's.,
637,CentCom security records,
638,Used to view and edit personnel's security records.,
639,horrific experiment,
640,Some sort of pod filled with blood and viscera. You swear you can see it moving...,
641,damaged cryogenic pod,
642,"A damaged cryogenic pod long since lost to time, including its former occupant...",
643,opened cryogenic pod,
644,A cryogenic pod that has recently discharged its occupant. The pod appears non-functional.,
645,Cyborg Statue,
646,"An old, deactivated cyborg. Whilst once actively used to guard against intruders, it now simply intimidates them with its cold, steely gaze.",
647,combat mech exhibit,
648,A stand with an empty old Nanotrasen Corporation combat mech bolted to it. It is described as the premier unit used to defend corporate interests and employees.,
649,construction mech exhibit,
650,A stand with a retired construction mech bolted to it. The clamps are rated at 9300PSI. It seems to be falling apart.,
651,Nanotrasen automated mindshield implanter exhibit,
652,"A flimsy model of a standard Nanotrasen automated mindshield implant machine. With secure positioning harnesses and a robotic surgical injector, brain damage and other serious medical anomalies are now up to 60% less likely!",
653,Nanotrasen-brand microwave,
654,"The famous Nanotrasen-brand microwave, the multi-purpose cooking appliance every station needs! This one appears to be drawn onto a cardboard box.",
655,cloning pod exhibit,
656,"Depicts a prototype from a failed attempt at reliable cloning technology. The technology was scrapped after reports of severe mutations, wiggly ear syndrome and spontaneous tail growth. The date 11.11.2558 is engraved on the base.",
657,'Perfect Man' employee exhibit,
658,"A stand with a model of the perfect Nanotrasen Employee bolted to it. Signs indicate it is robustly genetically engineered, as well as being ruthlessly loyal.",
659,Nanotrasen corporate newsfeed,
660,"A slightly battered looking TV. Various Nanotrasen infomercials play on a loop, accompanied by a jaunty tune.",
661,subsystem signal decrypter,
662,A strange machine that's supposedly used to help pick up and decrypt wave signals.,
663,wizard of yendor showcase,
664,"A historical figure of great importance to the wizard federation. He spent his long life learning magic, stealing artifacts, and harassing idiots with swords. May he rest forever, Rodney.",
665,byond random number generator,
666,A strange machine supposedly from another world. The Wizard Federation has been meddling with it for years.,
667,seppuku katana,
668,"Welp, only one way to recover your honour.",
669,shower,
670,"The HS-452. Installed in the 2550s by the Nanotrasen Hygiene Division, now with 2560 lead compliance! Passively replenishes itself with water when not in use.",
671,shower frame,
672,"A shower frame, that needs a water recycler to finish construction.",
673,mist,
674,monster nest,
675,warp beacon,
676,bone pit,
677,"A pit full of bones, and some still seem to be moving...",
678,Laughing Larry,
679,"A laughing, jovial figure. Something seems stuck in his throat.",
680,monster den,
681,"A hole dug into the ground, harboring all kinds of monsters found within most caves or mining asteroids.",
682,goldgrub den,
683,"A den housing a nest of goldgrubs, annoying but arguably much better than anything else you'll find in a nest.",
684,goliath den,
685,"A den housing a nest of goliaths, oh god why?",
686,hivelord den,
687,A den housing a nest of hivelords.,
688,basilisk den,
689,"A den housing a nest of basilisks, bring a coat.",
690,wumborian fugu den,
691,"A den housing a nest of wumborian fugus, how do they all even fit in there?",
692,spirit board,
693,"A wooden board with letters etched into it, used in seances.",
694,"[initial(desc)] The planchette is sitting at \""[planchette]\"".",
695,stairs,
696,table,
697,A square piece of iron standing on four metal legs. It can not move.,
698,"A square [(materials_list.len > 1) ? ""amalgamation"" : ""piece""] of [english_list(materials_list)] on four legs. It can not move.",
699,Rolling table,
700,"An NT brand \""Rolly poly\"" rolling table. It can and will move.",
701,glass table,
702,What did I say about leaning on the glass tables? Now you need surgery.,
703,plasma glass table,
704,Someone thought this was a good idea.,
705,wooden table,
706,Do not apply fire to this. Rumour says it burns easily.,
707,gambling table,
708,A seedy table for seedy dealings in seedy places.,
709,fancy table,
710,"A standard metal table frame covered with an amazingly fancy, patterned cloth.",
711,reinforced table,
712,A reinforced version of the four legged table.,
713,bronze table,
714,A solid table made out of bronze.,
715,reinforced glass table,
716,A reinforced version of the glass table.,
717,reinforced plasma glass table,
718,A reinforced version of the plasma glass table.,
719,titanium glass table,
720,"A titanium reinforced glass table, with a fresh coat of NT white paint.",
721,plastitanium glass table,
722,A table made of titanium reinforced silica-plasma composite. About as durable as it sounds.,
723,operating table,
724,Used for advanced medical procedures.,
725,rack,
726,Different from the Middle Ages version.,
727,rack parts,
728,Parts of a rack.,
729,table frame,
730,Four metal legs with four framing rods for a table. You could easily pass through this.,
731,wooden table frame,
732,Four wooden legs with four framing wooden rods for a wooden table. You could easily pass through this.,
733,tank dispenser,
734,A simple yet bulky storage device for gas tanks. Holds up to 10 oxygen tanks and 10 plasma tanks.,
735,tank holder,
736,A metallic frame that can hold tanks and extinguishers.,
737,toilet bong,
738,A repurposed toilet with re-arranged piping and an attached flamethrower. Why would anyone build this?,
739,AURUMILL-Brand MkII. Personnel Training Machine,
