﻿索引,文本内容,翻译内容
69,A cardboard cutout of a nightmare.,一个梦魇的纸板模型
70,"alien hunter ([rand(1, 999)])","外星猎手 ([rand(1, 999)])"
71,A cardboard cutout of a xenomorph.,一个异形的纸板模型
72,"lusty xenomorph maid ([rand(1, 999)])","元气满满的异形女佣([rand(1, 999)])"
73,A cardboard cutout of a xenomorph maid.,一个元气满满的异形女仆的纸板模型
74,A cardboard cutout of an ash walker.,一个灰烬行者的纸板模型
75,A cardboard cutout of a death commando.,一个敢死队指挥官的纸板模型
76,Ian,伊恩
77,A cardboard cutout of the HoP's beloved corgi.,一个HoP心爱的柯基的纸板模型
78,slaughter demon,屠戮恶魔
79,A cardboard cutout of a slaughter demon.,一个屠戮恶魔的纸板模型
80,laughter demon,欢笑恶魔
81,A cardboard cutout of a laughter demon.,一个欢笑恶魔的纸板模型
82,Private Security Officer,私人安全官
83,A cardboard cutout of a private security officer.,一个私人安全官的纸板模型
84,card,卡
85,Does card things.,他做卡该做的事
86,retro identification card,复古ID卡
87,A card used to provide ID and determine access across the station.,一个用于提供ID信息和在站点范围内的通行权限的卡
88,holographic pay stand,全息交易站
89,[name_string] ([assignment_string]),
90,a perfectly generic identification card,一张完美的普通ID卡
91,A perfectly generic identification card. Looks like it could use some flavor.,一张完美的普通ID卡，看来可以在上面定制一些东西
92,Staff ID,工作人员ID
93,A staff ID used to access the hotel's doors.,一张工作人员的ID卡，用于进出旅馆的门
94,Officer ID,警官ID
95,a perfectly generic identification card,一张完美的普通ID卡
96,A perfectly generic identification card. Looks like it could use some flavor.,一张完美的普通ID卡，看来可以在上面定制一些东西
97,Charlie Station Security Officer's ID card,查理站安全警卫的ID卡
98,"A faded Charlie Station ID card. You can make out the rank \""Security Officer\"".","褪色的查理站ID卡，你能认出来职位是 \""安保警卫\"""
99,Charlie Station Scientist's ID card,查理站科学家的ID卡
100,"A faded Charlie Station ID card. You can make out the rank \""Scientist\"".","褪色的查理站ID卡，你能认出来职位是 \""科学家\"""
101,Charlie Station Engineer's ID card,查理站工程师的ID卡
102,"A faded Charlie Station ID card. You can make out the rank \""Station Engineer\"".","褪色的查理站ID卡，你能认出来职位是 \""站点工程师\"""
103,APC Access ID,APC访问ID
104,A special ID card that allows access to APC terminals.,一张特别的ID卡，允许持有者访问APC终端
105,Delta Station Roboticist's ID card,德尔塔站机器人学家的ID卡
106,An ID card that allows access to bots maintenance protocols.,一张ID卡，允许持有者使用机器人的维修协议
107,bunker access ID,地堡访问ID
108,departmental card (ERROR),部门卡（错误）
109,Provides access to the departmental budget.,允许访问部门的经费
110,departmental card ([department_name]),([department_name])部门卡
111,Provides access to the [department_name].,允许访问 [department_name]
112,identification card,ID卡
113,A card used to provide ID and determine access across the station. Has an integrated digital display and advanced microchips.,一个用于提供ID信息和在站点范围内的通行权限的卡，拥有集成式数字显示器和高级微处理器
114,rainbow identification card,彩虹ID卡
115,"A rainbow card, promoting fun in a 'business proper' sense!","一张彩虹卡,在保持商业规范的同时促进乐趣!"
116,silver identification card,银ID卡
117,A silver card which shows honour and dedication.,一张展现荣誉和贡献的银卡
118,Thirteen's ID Card (Reaper),十三的ID卡（死神)
119,Thirteen,十三
120,gold identification card,金ID卡
121,A golden card which shows power and might.,一张展现权力和力量的金卡
122,captain's spare ID,舰长备用 ID
123,The spare ID of the High Lord himself.,至高王本尊的备用 ID
124,Captain,舰长
125,"[initial(name)][(!assignment || assignment == ""Captain"") ? """" : "" ([assignment])""]",
126,CentCom ID,中央指挥部 ID
127,An ID straight from Central Command.,来自中央指挥部的 ID
128,CentCom ID,中央指挥部 ID
129,An ERT ID card.,一张应急反应部队的ID卡
130,Emergency Response Intern,应急反应实习生
131,black identification card,黑色ID卡
132,This card is telling you one thing and one thing alone. The person holding this card is an utter badass.,这张卡告诉你一件也只有一件事.就是拿着这张卡的人真牛逼.
133,Death Squad ID,死亡小队ID
134,A Death Squad ID card.,一张死亡小队的ID卡。
135,syndicate ID card,辛迪加ID卡
136,An ID straight from the Syndicate.,一张来自于辛迪加的ID卡
137,Syndicate,辛迪加
138,syndicate ID card,辛迪加ID卡
139,An ID straight from the Syndicate.,一张来自于辛迪加的ID卡
140,Syndicate,辛迪加
141,syndicate captain ID card,辛迪加舰长ID卡
142,An ID straight from the Syndicate.,一张来自于辛迪加的ID卡
143,Syndicate,辛迪加
144,syndicate captain's spare ID,辛迪加舰长的备用ID
145,The spare ID of the Dark Lord himself.,黑暗领主的备用ID
146,Captain,舰长
147,"[initial(name)][(!assignment || assignment == ""Captain"") ? """" : "" ([assignment])""]",
148,Debug ID,Debug ID
149,"A debug ID card. Has ALL the all access, you really shouldn't have this.",一张Debug ID卡，拥有所有权限，你真的不应该拿到他
150,prisoner ID card,囚犯ID卡
151,"You are a number, you are not a free man.",现在的你不再是个自由人，而只是个编号。
152,Scum,渣滓
153,Prisoner #13-001,囚犯 #13-001
154,Prisoner #13-001,囚犯 #13-001
155,Prisoner #13-002,囚犯 #13-002
156,Prisoner #13-002,囚犯 #13-002
157,Prisoner #13-003,囚犯 #13-003
158,Prisoner #13-003,囚犯 #13-003
159,Prisoner #13-004,囚犯 #13-004
160,Prisoner #13-004,囚犯 #13-004
161,Prisoner #13-005,囚犯 #13-005
162,Prisoner #13-005,囚犯 #13-005
163,Prisoner #13-006,囚犯 #13-006
164,Prisoner #13-006,囚犯 #13-006
165,Prisoner #13-007,囚犯 #13-007
166,Prisoner #13-007,囚犯 #13-007
167,mining ID,采矿ID
168,highlander ID,高地人ID
169,Highlander,高地人
170,There can be only one!,这里只能有一个人！
171,agent card,特工卡
172,A highly advanced chameleon ID card. Touch this card on another ID card or player to choose which accesses to copy. Has special magnetic properties which force it to the front of wallets.,一张高科技变色龙卡，使用磁卡触碰其他的ID卡或者玩家可以选择复制哪项访问权限，其拥有特别的磁吸设计，使其可以吸附在钱包的前面
173,ID Card,ID卡
174,[pick(GLOB.first_names_male)] [pick(GLOB.last_names)],
175,[pick(GLOB.first_names_female)] [pick(GLOB.last_names)],
176,[pick(GLOB.first_names)] [pick(GLOB.last_names)],
177,[trim.assignment] ([trim.trim_state]),
178,George 'Plastic' Miller,
179,A card used to provide ID and determine access across the station. There's blood dripping from the corner. Ew.,一个用于提供ID信息和在站点范围内的通行权限的卡.他的一角上还在滴着血.呕
180,simple bot ID card,简单机器人ID卡
181,An internal ID card used by the station's non-sentient bots. You should report this to a coder if you're holding it.,一种内置的ID卡，被站点的无意识机器人所使用，如果你能拿到他你应该向管理员汇报
182,Red Team identification card,红队ID卡
183,A card used to identify members of the red team for CTF,用于识别 CTF 红队成员的ID卡
184,Blue Team identification card,蓝队ID卡
185,A card used to identify members of the blue team for CTF,用于识别 CTF 蓝队成员的ID卡
186,Yellow Team identification card,黄队ID卡
187,A card used to identify members of the yellow team for CTF,用于识别 CTF 黄队成员的ID卡
188,Green Team identification card,绿队ID卡
189,A card used to identify members of the green team for CTF,用于识别 CTF 绿队成员的ID卡
190,chainsaw,链锯
191,A versatile power tool. Useful for limbing trees and delimbing humans.,一种多功能电动工具。砍人和砍树的时候都很有用。
192,THE GREAT COMMUNICATOR,伟大的沟通者
193,<span class='warning'>VRRRRRRR!!!</span>,
194,Pull The Starting Cord,拽启动线
195,station charter,站点宪章
196,station charter for [station_name()],[station_name()]的站点宪章
197,Nanotrasen banner,纳米传讯旗帜
198,A cunning device used to claim ownership of celestial bodies.,一个用来认领天体所有权的狡猾装置。
199,banner of [station_name()],[station_name()]的旗帜
200,"The banner bears the official coat of arms of Nanotrasen, signifying that [station_name()] has been claimed by Captain [uname] in the name of the company.",旗帜上印有纳米传讯的官方盾徽，表示舰长[uname]已经以公司的名义获取了[station_name()]的所有权。
201,revolutionary banner,革命旗帜
202,A banner symbolizing a bloody victory over treacherous tyrants.,象征着用血腥革命击败狡诈暴君的一面旗帜。
203,banner of [station_name()],[station_name()]的旗帜
204,A banner symbolizing a bloody victory over treacherous tyrants. The revolutionary leader [uname] has named the station [station_name()] to make clear that this station shall never be shackled by oppressors again.,象征着用血腥革命击败狡诈暴君的一面旗帜。革命领袖[uname]将该站命名为[station_name()]，以明确表示该站永远不会再受压迫者所苦。
205,choice beacon,选择信标
206,"Hey, why are you viewing this?!! Please let CentCom know about this odd occurrence.",嘿，为啥你在看这玩意？！请快点让中央指挥部了解这件怪事。
207,ingredient delivery beacon,原料交付信标
208,Summon a box of ingredients to help you get started cooking.,召集一盒食材来开启你的烹饪之旅。
209,heroic beacon,英雄信标
210,To summon heroes from the past to protect the future.,召唤旧日英雄来保护未来
211,augment beacon,增强植入物信标
212,Summons augmentations. Can be used 3 times!,能召唤增援。可以用3次！
213,armaments beacon,套装信标
214,Contains a set of armaments for the chaplain.,含有一套为牧师准备的装备.
215,blank chromosome,空的染色体管
216,A tube holding chromosomic data.,用于保存染色体数据的管子
217,stabilizer chromosome,稳定染色体
218,A chromosome that reduces mutation instability by 20%.,减少突变不稳定性20%的染色体。
219,synchronizer chromosome,同步染色体
220,A chromosome that reduces mutation knockback and downsides by 50%.,减轻突变50%不利影响的染色体
221,power chromosome,强力染色体
222,A chromosome that increases mutation power by 50%.,增强突变50%效果的染色体
223,energetic chromosome,高能染色体
224,A chromosome that reduces action based mutation cooldowns by by 50%.,加快突变充能50%的染色体
225,match,火柴
226,"A simple match stick, used for lighting fine smokables.",一种简单的火柴，用来点燃精致的烟具。
227,lit [initial(name)],点燃的[initial(name)]
228,A [initial(name)]. This one is lit.,一个 [initial(name)]，这个已经点燃了
229,burnt [initial(name)],燃尽的 [initial(name)]
230,A [initial(name)]. This one has seen better days.,一个 [initial(name)]，这一个已经见到好日子了
231,firebrand,火把
232,An unlit firebrand. It makes you wonder why it's not just called a stick.,一根未点燃的火柴，所以为什么不直接叫它一根棍子.
233,cigarette,香烟
234,A roll of tobacco and nicotine.,用烟草和尼古丁卷成的纸卷。
235,A Space brand cigarette that can be smoked anywhere.,"一包\""太空牌\""香烟——让你想在哪抽就在哪抽！"
236,"A DromedaryCo brand cigarette. Contrary to popular belief, does not contain Calomel, but is reported to have a watery taste.","一包\""单峰骆驼\""品牌香烟，与流行的观点相反，他并不含甘汞，但是有一股水味"
237,An Uplift Smooth brand cigarette. Smells refreshing.,"一包\""平滑上升\""牌香烟，气味清新"
238,A Robust brand cigarette.,"一包\""强健\""品牌香烟"
239,A Robust Gold brand cigarette.,"一包金版\""强健\""品牌香烟"
240,A Carp Classic brand cigarette. A small label on its side indicates that it does NOT contain carpotoxin.,"一包\""鲤鱼经典\""品牌香烟，有一个小标签在盒子的侧面表明了他不含任何鲤鱼毒"
241,An unknown brand cigarette.,一包品牌未知的香烟
242,A Shady Jim's Super Slims cigarette.,"一包\""阴暗吉姆\""的超细香烟"
243,A Xeno Filtered brand cigarette.,"一包\""异形过滤器\""品牌香烟"
244,rollie,罗勒叶
245,A roll of dried plant matter wrapped in thin paper.,一卷包起来的干燥植物
246,Little Timmy's candy cigarette,小提米糖果烟
247,For all ages*! Doesn't contain any amount of nicotine. Health and safety risks can be read on the tip of the cigarette.,全年龄*适用！不含任何尼古丁，可以从尖端读出健康和安全风险
248,For all ages*! Doesn't contain any* amount of nicotine. Health and safety risks can be read on the tip of the cigarette.,全年龄*适用！不含任何*尼古丁，可以从尖端读出健康和安全风险
249,roach,蟑螂
250,"A manky old roach, or for non-stoners, a used rollup.",一只老蟑螂，或者对于任何非石头人来说，用过的卷纸
251,premium cigar,优质雪茄
252,"A brown roll of tobacco and... well, you're not quite sure. This thing's huge!",一卷棕色的烟草……嗯，或许是吧。这东西也太大了！
253,Cohiba Robusto cigar,高斯巴强健雪茄
254,There's little more you could want from a cigar.,这支雪茄已经好的不能再好了。
255,premium Havanian cigar,优质哈瓦那雪茄
256,A cigar fit for only the best of the best.,只给精英中的精英准备的雪茄。
257,cigarette butt,烟蒂
258,A manky old cigarette butt.,肮脏的旧烟蒂。
259,cigar butt,雪茄蒂
260,A manky old cigar butt.,一个结实的旧雪茄蒂。
261,smoking pipe,烟斗
262,"A pipe, for smoking. Probably made of meerschaum or something.",一根用来吸烟的烟斗。可能是用海泡石或者别的什么东西制成的。
263,corn cob pipe,玉米芯管
264,A nicotine delivery system popularized by folksy backwoodsmen and kept popular in the modern age and beyond by space hipsters. Can be loaded with objects.,在民间的边远地区流行起来的一种一种尼古丁递送系统，并在现代及以后的太空潮人中都一直很流行。可以往里面装东西。
265,Zippo lighter,Zippo打火机
266,The zippo.,Zippo
267,cheap lighter,廉价打火机
268,A cheap lighter.,一个廉价的打火机。
269,slime zippo,史莱姆Zippo
270,A specialty zippo made from slimes and industry. Has a much hotter flame than normal.,由史莱姆和工业制成的特制Zippo。 比普通款的火更热。
271,rolling paper,卷烟纸
272,A thin piece of paper used to make fine smokeables.,用来制作精美可吸物品的薄纸 。
273,E-Cigarette,电子烟
274,"A classy and highly sophisticated electronic cigarette, for classy and dignified gentlemen. A warning label reads \""Warning: Do not fill with flammable materials.\""","一款优雅有格调的电子烟，为端庄优雅的绅士设计，上面有一块警告标志，写着\""警告: 不要填充可燃物.\"""
275,soap,香皂
276,A cheap bar of soap. Doesn't smell.,一块便宜香皂，没啥味道
277,A homemade bar of soap. Smells of... well....,一块自制肥皂，闻起来，呃哦
278,A heavy duty bar of Nanotrasen brand soap. Smells of plasma.,一大块纳米传讯品牌香皂，闻着像是等离子
279,A deluxe Waffle Co. brand bar of soap. Smells of high-class luxury.,一块豪华华夫公司牌的肥皂。高级豪华的味道。
280,An untrustworthy bar of soap made of strong chemical agents that dissolve blood faster.,一块不可靠的香皂，使用可以更快溶解血液的强大化学物质制成
281,Omega soap,欧米茄香皂
282,The most advanced soap known to mankind. The beginning of the end for germs.,人类所知最先进的香皂。 这是细菌灭亡的开始。
283,ancient janitorial poem,古代清洁诗
284,An old paper that has passed many hands.,一张被人们传阅多次的旧纸。
285,bike horn,自行车喇叭
286,A horn off of a bicycle. Rumour has it that they're made from recycled clowns.,从自行车上面摘下来的喇叭，有传言称他们是用回收小丑制造的
287,air horn,气笛
288,"Damn son, where'd you find this?",臭小子，你在哪里找到这个的？
289,golden bike horn,黄金自行车喇叭
290,"Golden? Clearly, it's made with bananium! Honk!",金子？很明显，他们是用香蕉矿做的！Honk！
291,Canned Laughter,罐头笑声
292,Just looking at this makes you want to giggle.,光是看着这玩意你就想笑了
293,control wand,遥控器
294,Remotely controls airlocks.,远程遥控气闸
295,omni door remote,万用遥控器
296,This control wand can access any door on the station.,这个遥控器可以遥控站点全部的门
297,command door remote,指挥部门遥控器
298,engineering door remote,工程部门遥控器
299,research door remote,研发部门遥控器
300,security door remote,安保部门遥控器
301,supply door remote,后勤部门遥控器
302,Remotely controls airlocks. This remote has additional Vault access.,远程控制气闸，这个遥控器有额外的保险库许可
303,medical door remote,医疗部门遥控器
304,civilian door remote,公共区门遥控器
305,red lipstick,红口红
306,A generic brand of lipstick.,一根很常见品牌的口红
307,purple lipstick,紫口红
308,jade lipstick,玉口红
309,black lipstick,黑口红
310,Kiss of Death,死亡之吻
311,"An incredibly potent tube of lipstick made from the venom of the dreaded Yellow Spotted Space Lizard, as deadly as it is chic. Try not to smear it!",这是一管极为强效的口红，由可怕的黄斑太空蜥蜴的毒液制成，既致命又时尚。尽量不要弄脏它！
312,lipstick,口红
313,[colour] lipstick,[colour]色口红
314,electric razor,电动剃须刀
315,The latest and greatest power razor born from the science of shaving.,最新的，也是最强大的电动剃须刀，由剃须科学制造
316,gavel hammer,法官木槌
317,"Order, order! No bombs in my courthouse.",秩序，保持秩序！我的法院里没有炸弹
318,gavel block,木槌块
319,Smack it with a gavel hammer when the assistants get rowdy.,当助手们开始为非作歹时，用你的木槌反复敲打
320,suspicious phone,可疑的电话
321,This device raises pink levels to unknown highs.,此设备将粉色级别提升到未知的最高点
322,Nanotrasen Space-Coin Market,纳米传讯 太空币市场
323,This is good for spacecoin because,这对太空币来讲很好，因为...
324,
325,Get out of the way!,让开!
326,Landing Zone Indicator,着陆区指示器
327,A holographic projection designating the landing zone of something. It's probably best to stand back.,指示某物着陆区域的全息投影，最好还是退后几步
328,red crayon,红蜡笔
329,A colourful crayon. Looks tasty. Mmmm...,彩色蜡笔。看起来很好吃。呣...
330,"Oriented"", ""items",
331,"Runes"", ""items",
332,"Random"", ""items",
333,red crayon,红蜡笔
334,orange crayon,橘色蜡笔
335,yellow crayon,黄蜡笔
336,green crayon,绿蜡笔
337,blue crayon,蓝蜡笔
338,purple crayon,紫蜡笔
339,black crayon,黑蜡笔
340,white crayon,白蜡笔
341,mime crayon,默剧蜡笔
342,A very sad-looking crayon.,看起来非常悲伤的蜡笔
343,rainbow crayon,彩虹蜡笔
344,box of crayons,蜡笔盒
345,A box of crayons for all your rune drawing needs.,一盒蜡笔，满足你对符文绘制方面的所有需求。
346,spray can,喷雾罐
347,A metallic container containing tasty paint.,一个装有美味油漆的金属容器。
348,cyborg spraycan,赛博格喷雾罐
349,A metallic container containing shiny synthesised paint.,一个装有闪亮合成漆的金属容器。
350,hellcan,地狱喷雾
351,This spraycan doesn't seem to be filled with paint...,这个喷雾器似乎装的并不是油漆.... 
352,slippery spraycan,非常滑的喷雾罐
353,You can barely keep hold of this thing.,你几乎拿不住这个东西
354,silent spraycan,沉默喷雾罐
355,"Art is best seen, not heard.",艺术最好去看，而不是去听。
356,infinite spraycan,无限喷雾罐
357,Now with 30% more bluespace technology.,现在增加了30%的蓝空科技。
358,credit holochip,信用点全息筹码
359,A hard-light chip encoded with an amount of credits. It is a modern replacement for physical money that can be directly converted to virtual currency and viceversa. Keep away from magnets.,用一定数量的信用点编译成的全息筹码，它是实物货币的现代替代品，可以直接转换为虚拟货币，反之亦然，远离磁铁
360,[credits] credit holochip,[credits]信用点全息筹码
361,human spawner,人类生成器
362,Spawn a human by aiming at a turf and clicking. Use in hand to change type.,瞄准一块地板点击刷出一个人类。在手中使用可切换类型。
363,omnitool,多功能工具
364,"The original hypertool, born before them all. Use it in hand to unleash its true power.",最初的超级工具，诞生于其他所有超级工具之前，使用它来释放它真正的力量。
365,defibrillator,除颤器
366,Toggle Paddles,打开电极板
367,compact defibrillator,紧凑型除颤器
368,A belt-equipped defibrillator that can be rapidly deployed.,可快速展开的腰带式除颤器。
369,combat defibrillator,战斗除颤器
370,"A belt-equipped blood-red defibrillator. Can revive through thick clothing, has an experimental self-recharging battery, and can be utilized in combat via applying the paddles in a disarming or aggressive manner.","装配在腰带上的血红色除颤器。可以透过厚重衣物除颤伤者,装有一颗实验性的自充电电池,可以通过致残或杀伤方式用于作战情况"
371,elite Nanotrasen defibrillator,精英纳米传讯除颤器
372,"A belt-equipped state-of-the-art defibrillator. Can revive through thick clothing, has an experimental self-recharging battery, and can be utilized in combat via applying the paddles in a disarming or aggressive manner.","装配在腰带上的最先进除颤器.可以透过厚重衣物除颤伤者,装有一颗实验性的自充电电池,可以通过致残或杀伤方式用于作战情况."
373,defibrillator paddles,除颤电极板
374,A pair of plastic-gripped paddles with flat metal surfaces that are used to deliver powerful electric shocks.,一对带有金属平面的塑料抓握板，用于传递强大的电击。
375,cyborg defibrillator paddles,赛博格除颤电极板
376,syndicate defibrillator paddles,辛迪加除颤电极板
377,A pair of paddles used to revive deceased operatives. They possess both the ability to penetrate armor and to deliver powerful or disabling shocks offensively.,一对用来救活死去特工的起搏器，他们不仅有穿透装甲的能力，还可以释放致命或者致残的电击
378,elite nanotrasen defibrillator paddles,精英纳米传讯除颤电极板
379,A pair of paddles used to revive deceased ERT members. They possess both the ability to penetrate armor and to deliver powerful or disabling shocks offensively.,一对用来救活死去应急小队成员的起搏器，他们不仅有穿透装甲的能力，还可以释放致命或者致残的电击
380,It's growing!,他在生长！
381,bag of dice,一袋骰子
382,Contains all the luck you'll ever need.,包含您所需的全部运气
383,die,骰子
384,A die with six sides. Basic and serviceable.,一个六面骰，简单耐用
385,d1,d1
386,A die with only one side. Deterministic!,只有一面的骰子，可确定性！
387,d2,d2
388,A die with two sides. Coins are undignified!,一个两面骰。用硬币有失体面！
389,d4,d4
390,A die with four sides. The nerd's caltrop.,一个有四面的骰子，属于阿宅的菱角
391,d6,d6
392,ebony die,乌木骰子
393,A die with six sides made of dense black wood. It feels cold and heavy in your hand.,一个有六面的骰子，用高密度黑木制成，他感觉起来又重又凉
394,space cube,太空幻方
395,"A die with six sides. 6 TIMES 255 TIMES 255 TILE TOTAL EXISTENCE, SQUARE YOUR MIND OF EDUCATED STUPID: 2 DOES NOT EXIST.",一个有六面的骰子，共有6面每面255格每格255个结果！让你的脑子清醒一点，傻瓜：2并不存在！
396,spess cube,大孔幻方
397,fudge die,软糖骰子
398,A die with six sides but only three results. Is this a plus or a minus? Your mind is drawing a blank...,一个拥有六个面但是只有三种结果的骰子，那是个加号还是减号？你的脑子一片空白
399,d8,d8
400,A die with eight sides. It feels... lucky.,有八面的骰子，感觉很幸运
401,d10,d10
402,A die with ten sides. Useful for percentages.,有十面的骰子，骰百分比很有用
403,d00,d00
404,A die with ten sides. Works better for d100 rolls than a golf ball.,有十面的骰子，在需要摇d100的时候比丢高尔夫球好使
405,d12,d12
406,A die with twelve sides. There's an air of neglect about it.,有十二面的骰子，感觉他被忽视了
407,d20,d20
408,A die with twenty sides. The preferred die to throw at the GM.,有二十面的骰子，往GM脸上投掷的首选骰子
409,d100,d100
410,A die with one hundred sides! Probably not fairly weighted...,一个有100面的骰子！虽然结果可能不是很公正
411,strange d20,奇怪的d20
412,A weird die with raised text printed on the faces. Everything's white on white so reading it is a struggle. What poor design!,一个奇怪的骰子，文字是突印在上面的，通体白色，所以阅读这个是个灾难，什么烂设计！
413,4d d6,四维d6
414,"A die that exists in four dimensional space. Properly interpreting them can only be done with the help of a mathematician, a physicist, and a priest.",一个存在于四维空间的骰子，只有在数学家、物理学家和牧师的帮助下才能正确解读
415,Die of Fate,命运之骰
416,A die with twenty sides. You can feel unearthly energies radiating from it. Using this might be VERY risky.,一个有二十面的骰子，你可以感受到从它身上散发出的超凡脱俗的能量，使用它可能得冒巨大的风险
417,cursed Die of Fate,被诅咒的命运之骰
418,A die with twenty sides. You feel that rolling this is a REALLY bad idea.,一个有二十面的骰子，你真的觉得摇动他是个超级坏主意
419,d20,d20
420,A die with twenty sides. The preferred die to throw at the GM.,有二十面的骰子，往GM脸上投掷的首选骰子
421,Cookie of Fate,命运之小甜饼
422,Butler,管家
423,Summon Servant,召唤仆人
424,"This spell can be used to call your servant, whenever you need it.",这个咒语可以召唤你的仆人，当任何情况下你需要时
425,DNA injector,DNA注射器
426,A cheap single use autoinjector that injects the user with DNA.,一种廉价的一次性自动注射器，可为用户注射DNA
427,DNA injector (Hulk),DNA注射器（浩克）
428,"This will make you big and strong, but give you a bad skin condition.",这个会让你又大又强壮，但对你的皮肤可能不太好
